,slug,description
1165,donkey-butter,"Blueberry Jack is a cultivar of unknown origins, though it’s thought to be a combination of Jack Herer and DJ Short's Blueberry. The top reported aromas of the Blueberry Jack strain are berry, pine, and earth. It is said to taste of tart berries, pine needles, and soil. Blueberry Jack is a hybrid plant with bushy foliage and thick stems. The strain thrives in both indoor and outdoor gardens, producing larger yields with the help of growing techniques such as the Sea of Green (SOG) method. Blueberry Jack flowers in 56 to 70 days indoors and by mid-to-late October outside. At full maturity, Blueberry Jack produces a hefty 32 ounces of bud per plant. Blueberry Jack is unavailable as seeds or clones."
1166,blueberry-jack,"Travel Joint is not a portable pre-roll. Instead, it's a creation by the team at Green Life Productions, who whipped up this hybrid as a combination of Alien Stardawg with Monster Cookies. Consumers claim Travel Joint features a bouquet of pungent earthiness, blended with citrus and minty lime. Its smoke tastes like a lemon pie with freshly squeezed lime juice and a sprinkling of soil layered over the top. Green Life Productions says Travel Joint is a balanced hybrid, with medium-sized plants and fluffy, popcorn-shaped nugs. The cultivar develops sturdy stalks and branches capable of withstanding environmental turmoil and most pests and diseases. Travel Joint thrives in both indoor and outdoor conditions and doesn't mind cooler temperatures in the Northern Hemisphere. Travel Joint reaches full maturity in 77 days indoors and late October outside, producing average yields. Travel Joint seeds are commercially available."
1167,travel-joint,"Loud Seeds created Chem Scout as a combination of GSC (formerly known as Girl Scout Cookies) and Chemdawg. The top reported aromas of the Chem Scout strain are earth, citrus, and coffee. It is said to taste of nuts, pine, and sweet citrus fruit. Chem Scout has little cultivation information available. It is likely Chem Scout prefers semi-humid, temperate growing conditions. The strain flowers in both indoor and outdoor environments, reaching maturity in approximately 49 to 63 days indoors and by late September outdoors. At harvest, Chem Scout produces about 14 ounces of bud per plant, an average-size yield. Chem Scout is unavailable as seeds or clones."
1168,chem-scout,"The team at Big Buddha Seeds was the first to cultivate Blue Cheese. The breeders had perfected a phenotype of the UK-born Cheese and decided to cross a female with another Blueberry x Big Buddha Cheese hybrid male. Thus, Blue Cheese gained its name more for its heritage than its aroma or taste. Consumers report Blue Cheese as a fruity flower that produces a euphoric, yet level-headed experience. According to the breeders, Blue Cheese flowers in eight to 10 weeks when indoors and near the end of October in the Northern Hemisphere when cultivated outdoors. Blue Cheese is highly fragrant and resistant to mold and mildew, so long as it's kept in slightly cooler environments."
1169,blue-cheese,"Green Monster is a big, green mystery. Neither the genetics nor the breeder are known, though one source suggests it might be OG Kush, Purple Urkle, and Killer Queen. The top reported aromas of Green Monster are earth, wood, and honey. And it is said to taste like candy, diesel, and wood. Green Monster is a balanced hybrid of indica and sativa that’s a product of unknown genetics. There’s very little information available on growing Green Monster since its genetics and breeding are unknown. Sources online speculate that it has a flowering cycle of about 56 days and produces small yields. Green Monster is unavailable as seeds or clones."
1170,green-monster,"Jack’s Wreck is a strain of mysterious origins, thought to be a combination of Jack Herer and Trainwreck — two popular cannabis cultivars in their own right. The top reported aromas of Jack Wreck are earthy, lemon, and sweet pine. Its flavors taste like lemon and fresh citrus fruit. Jack Wreck is a sativa-leaning hybrid with little growing information available. It should do well in indoor and outside gardens, with a more extended flower period of eight to ten weeks in the former and mid-October in the latter. In ideal conditions, Jack Wreck should produce approximately 12 ounces of flower per plant. Jack Wreck is available as clones only."
1171,jack-wreck,"Although it’s unclear who created Jack Frost, several sources agree that this sativa-leaning strain is a cross between Sensi Seeds’ award-winning Jack Herer with Northern Lights #5 and the legendary White Widow. With a lineage like that, you can bet that Jack Frost brings it with a flurry of trichomes and THC levels that are said to exceed 21%, according to Pacific Seed Bank. Jack Frost reportedly carries a fruity and earthy taste, and is considered to be resistant to pests and disease, making it relatively easy to grow. Suitable for either indoor or outdoor conditions, Jack Frost produces spade-shaped colas frosted with trichomes that give the bud a snow-capped mountain-like appearance."
1172,jack-frost,"Sour Urkle first bloomed in the garden of breeder team Southern Oregon Seeds. The strain is a combination of Sour Diesel with Purple Urkle. It is designed to capture the best of each parents’ genetics and aromas. Sour Urkle consumers report an aroma of pungent diesel blended with sweet berries and grapes. Its flavor is a similarly odd combination, combining the fruity taste of Purple Urkle with Sour Diesel's spiced, sour smoke. This medium-sized hybrid is a natural choice for novice cultivators and perfect for raising indoors. The plant requires some topping if in a tighter space to encourage regular airflow and keep up its resistance to mold and mildew. Sour Urkle's pungent odor may require some control measures. The strain typically reaches full maturity in 56 to 63 days, developing lovely purple coloring when exposed to colder temperatures just before harvest. Sour Urkle is commercially available as seeds."
1173,sour-urkle,"Blue Diesel was created by Advanced Seeds, crossing Biodiesel Mass and Blueberry, two highly sought-after parents that blend together to produce a sweet tasting strain. According to the breeder, Blue Diesel carries a strong aroma and flavor of citrus and berry that descends from both parents, along with an average THC level of 16%. There is a similar strain called Blue City Diesel, also referred to as Blue Diesel, which is a cross of Blueberry and NYC Diesel. The breeder says Blue Diesel produces copious amounts of resin and is also high in CBD, although Advanced Seeds doesn’t give an exact value. This auto-flowering strain is suitable for indoor and outdoor growing conditions, producing resinous, light green colas with pinkish hues and orange stigma hairs. Growing between 60 to 90 centimeters, or 2 to 3 feet, indoors, growers can expect between 400 to 500 grams per square meter, while outdoor grown plants reach up to 1.4 meters, or 4.6 feet, tall and harvest in November if grown in the Northern Hemisphere."
1174,blue-diesel,"Origin 1 Cali Kush by Sensible Seeds Sumo Seeds may have been the originator of Cali Kush, or California Kush, but since it has been discontinued, the breeder Sensible Seeds seems to have taken up the task of crossing Purps with L.A. Confidential to make this indica-leaning strain.The breeder claims that its Cali Kush has a fruity citrus aroma with coffee undertones, along with moderate 13% to 15% THC levels and high (though undisclosed) levels of CBD. Cali Kush from Sensible Seeds is said to be easy for beginners to grow, producing solid yields of light green and blue-hued colas that are covered in trichomes during an eight-to-nine-week flowering cycle. When grown indoors, Cali Kush can grow up to 1 meter, or 3.3 feet, in height, producing between 425 to 475 grams of flower per square meter. Outdoors, Cali Kush can reach up to 1.2 meters, or 4 feet, yielding up to 250 grams, or 8.8 ounces, per plant when harvested in early October in the Northern Hemisphere. Origin 2 Cali Kush by Anesia Seeds The Spanish breeder Anesia Seeds has their own version of California Kush or Cali Kush, which is a cross between Strawberry Kush with OG Kush. Anesia’s indica-dominant Cali Kush has a flavor and aroma of tropical fruits, along with an average THC level of 24% and 2.8% CBD, according to the breeder. Growing short and compact during the vegetative phase, this specific Cali Kush is said to be a heavy resin producer, sprouting bright, trichome-covered buds in a seven-to-eight-week flowering cycle. The cultivar is easy to grow and does best indoors with Sea of Green (SOG) though it can be grown outside in warm climates. Origin 3 Cali Kush by 00 Seeds Another Spanish breeder named 00 Seeds developed its version of Cali Kush, or California Kush, to bring a little of California’s famed Emerald Triangle to the rest of the world, or at least to European cannabis consumers. The particular Cali Kush is a cross of an unknown Californian indica and an unknown Hindu Kush, creating an indica-leaning strain that has a sweet and spicy aroma. The breeder says its Cali Kush’s indica nature keeps the plants fairly small but they are easy to grow indoors or outside in a warm, dry climate. These small plants produce one large central bud with glistening trichomes and orange stigma hairs during a 55-to-60-day flowering cycle. Growers should expect plants to grow between 90 to 120 centimeters, or 3 to 4 feet, high when cultivated indoors, yielding 450-to-550 grams per square inch. Outdoor grown Cali Kush could reach up to 250 centimeters tall, and if cultivated in the Northern Hemisphere, should be harvested in mid-October. If grown outdoors in the Southern Hemisphere, growers should plan to harvest Cali Kush in mid-April."
